Vélo;Durée;KM;Puissance;Torque;HRmean;HR Drift;RPE;Commentaires
15/3/25;0:01:00;;254;28Nm;150;;;
19/3/25;0:02:00;;246;26Nm;149;;;
22/3/25;0:30:00;;212;23Nm;153;;;
26/3/25;0:03:00;;247;26Nm;155;;;
29/3/25;0:45:00;;212;23Nm;153;;;
2/4/25;0:04:00;;243;26Nm;152;;;
16/4/25;0:15:00;;231;25Nm;150;;;
23/4/25;0:16:00;;224;25Nm;151;;;
10/5/25;0:01:30;;249;27Nm;143;;;
21/5/25;0:16:00;;231;25Nm;149;;;
14/6/25;0:40:00;;196;21Nm;132;;;
18/6/25;0:01:30;;245;26Nm;140;;;
21/6/25;0:45:00;;203;22Nm;140;;;
1/10/25;0:20:00;;212;23Nm;145;;;
8/11/25;0:03:00;;226;24Nm;166;;;HT
