Vélo;Durée;KM;Puissance;Torque;HRmean;HR Drift;RPE;Commentaires
10/9/24;0:03:00;;344;37Nm;155;;;
12/9/24;;200Km;175;;115;;2;
14/9/24;;110Km;257;28Nm;148;;;
22/9/24;;82Km;284;31Nm;154;;;Xtrememan Narbonne
26/9/24;;220Km;175;;110;;2;
29/9/24;0:05:00;;303;32Nm;155;;;
29/9/24;3:00:00;;255;27Nm;147;;;
3/10/24;;100Km;251;27Nm;144;;;
3/10/24;;212Km;198;;120;;6;
15/10/24;1:33:00;;257;29Nm;143;;;HT
15/10/24;0:14:00;;308;33Nm;166;;;HT
19/10/24;0:08:00;;301;32Nm;161;;;Hawaii
26/10/24;;180Km;242;26Nm;155;;;IM Hawaii
3/12/24;0:01:30;;349;35Nm;158;;;HT
3/12/24;0:03:30;;309;33Nm;180;;;HT
5/12/24;0:02:00;;348;36Nm;159;;;HT
5/12/24;0:03:00;;306;33Nm;176;;;HT
14/12/24;0:30:00;;268;30Nm;156;;;HT
6/1/25;0:04:00;;355;38Nm;168;;5;HT
10/1/25;0:05:00;;364;40Nm;170;;;HT
15/1/25;0:15:00;;285;45Nm;152;;;HT - Tempo/Force
17/1/25;0:03:00;;358;38Nm;161;;8;HT
17/1/25;0:06:00;;352;39Nm;168;;8;HT
22/1/25;0:05:00;;393;41Nm;176;;9;Test HT 5’
25/1/25;0:20:00;;273;44Nm;152;;;HT - Tempo/Force
6/2/25;0:30:00;;279;43Nm;151;;;HT - Tempo/Force
11/2/25;0:08:00;;336;36Nm;170;;7;HT
15/2/25;0:30:00;;266;41Nm;153;;;HT - Tempo/Force
18/2/25;0:04:00;;343;36Nm;149;;;HT - pas fini - 4/8
20/2/25;0:45:00;;272;29Nm;146;;5;
26/2/25;;50Km;256;27Nm;148;;6;
27/2/25;;60Km;257;28Nm;142;;4;
19/3/25;0:15:00;;320;36Nm;160;;;
27/3/25;0:01:00;;388;43Nm;155;;;
30/3/25;;60Km;278;29Nm;146;;5;
1/4/25;0:10:00;;296;30Nm;148;;;
6/4/25;;90Km;277;30Nm;148;;6;Half Peniscola
10/4/25;;190Km;182;;112;;3;
11/4/25;;60Km;262;27Nm;136;;5;
14/4/25;0:06:00;;314;35Nm;153;;;
17/4/25;0:08:00;;300;33Nm;154;;5;
18/4/25;;240Km;184;;109;;2;
22/4/25;0:16:00;;290;33Nm;152;;6;
25/4/25;;110Km;261;28Nm;143;;5;
25/4/25;;10Km;289;31Nm;154;;5;
26/4/25;;53Km;253;27Nm;137;;6;
10/5/25;0:05:00;;297;33Nm;151;;;
10/5/25;1:40:00;;260;30Nm;143;;4;
17/5/25;;181Km;258;26Nm;146;;;IM Lanza
28/5/25;0:03:00;;339;37Nm;155;;;
31/5/25;0:30:00;;295;33Nm;161;;;
4/6/25;0:08:00;;342;37Nm;161;;;
10/6/25;0:04:00;;337;38Nm;162;;;
17/6/25;0:05:00;;408;46Nm;169;;;Test 5min montée
18/6/25;0:20:00;;334;39Nm;170;;;Test 20min montée
26/6/25;1:00:00;;304;34Nm;158;;;Test 60min
1/7/25;0:05:00;;369;39Nm;167;;;Test 5min
7/7/25;0:03:00;;321;36Nm;148;;;
23/7/25;0:10:00;;319;40Nm;161;;;
31/7/25;1:00:00;;292;33Nm;155;;;
1/8/25;0:50:00;;257;29Nm;141;;;
13/8/25;;70Km;252;29Nm;148;;;
18/8/25;0:15:00;;305;34Nm;153;;;
27/8/25;;140Km;255;29Nm;143;;;
3/9/25;;50Km;268;31Nm;148;;;
6/9/25;0:05:00;;304;36Nm;156;;;
14/10/25;1:00:00;;257;29Nm;151;;;
