CàP;Durée;KM;Allure/ KM;HRmean;Commentaires
1/12/25;;500m;0:03:08;157;
1/12/25;;1,1Km;0:03:19;169;
5/12/25;;10Km;0:03:10;170;
8/12/25;;600m;0:03:17;161;
11/12/25;;1,8Km;0:03:13;162;
14/12/25;;7Km;0:03:46;156;
21/12/25;;15Km;0:03:47;152;
31/12/25;;8Km;0:03:53;150;
3/1/25;;9Km;0:03:51;148;
3/1/25;;1Km;0:03:08;167;
